ID,Skill,Description,Category
1025,Amazon Elasticsearch Service,"Amazon Elasticsearch Service is a fully managed search and analytics service that makes it easy to deploy, secure, operate, and scale Elasticsearch clusters in the AWS cloud. It can be used for a variety of use cases, such as log and clickstream analysis, real-time application monitoring, and security analytics. As a specialized skill, it requires knowledge and experience in setting up and configuring Elasticsearch clusters, indexing and querying data, and utilizing Elasticsearch features such as Kibana visualizations and machine learning.",SpecializedSkill
1026,Amazon Linux Amazon Machine Image (AMI),,SpecializedSkill
1027,Android (Operating System),"Android is a mobile operating system based on a modified version of the Linux kernel and other open source software, designed primarily for touchscreen mobile devices such as smartphones and tablets. Android is developed by a consortium of developers known as the Open Handset Alliance and commercially sponsored by Google. It was unveiled in November 2007, with the first commercial Android device launched in September 2008.",SpecializedSkill
1028,Android Applications,"Android is a mobile operating system based on a modified version of the Linux kernel and other open source software, designed primarily for touchscreen mobile devices such as smartphones and tablets. Android is developed by a consortium of developers known as the Open Handset Alliance and commercially sponsored by Google. It was unveiled in November 2007, with the first commercial Android device, the HTC Dream, being launched in September 2008.",SpecializedSkill
1029,Android ButterKnife,Android ButterKnife is a library for Android app development that simplifies the process of binding views to their corresponding data and events. It reduces boilerplate code and enhances readability and maintainability of code. It is a specialized skill required for Android developers to optimize their app development process.,SpecializedSkill
1030,Android Debug Bridge,"Android software development is the process by which applications are created for devices running the Android operating system. Google states that \Android apps can be written using Kotlin, Java, and C++ languages\ using the Android software development kit (SDK), while using other languages is also possible. All non-JVM languages, such as Go, JavaScript, C, C++ or assembly, need the help of JVM language code, that may be supplied by tools, likely with restricted API support. Some programming languages and tools allow cross-platform app support. Third party tools, development environments, and language support have also continued to evolve and expand since the initial SDK was released in 2008. The official Android app distribution mechanism to end users is Google Play; it also allows staged gradual app release, as well as distribution of pre-release app versions to testers.",SpecializedSkill
1031,Android Development,"Android is a mobile operating system based on a modified version of the Linux kernel and other open source software, designed primarily for touchscreen mobile devices such as smartphones and tablets. Android is developed by a consortium of developers known as the Open Handset Alliance and commercially sponsored by Google. It was unveiled in November 2007, with the first commercial Android device launched in September 2008.",SpecializedSkill
1032,Android Emulators,"In computing, an emulator is hardware or software that enables one computer system to behave like another computer system. An emulator typically enables the host system to run software or use peripheral devices designed for the guest system.
Emulation refers to the ability of a computer program in an electronic device to emulate another program or device. Many printers, for example, are designed to emulate HP LaserJet printers because so much software is written for HP printers. If a non-HP printer emulates an HP printer, any software written for a real HP printer will also run in the non-HP printer emulation and produce equivalent printing. Since at least the 1990s, many video game enthusiasts and hobbyists have used emulators to play classic arcade games from the 1980s using the games' original 1980s machine code and data, which is interpreted by a current-era system and to emulate old video game consoles.",SpecializedSkill
1033,Android Jetpack,"Android software development is the process by which applications are created for devices running the Android operating system. Google states that \Android apps can be written using Kotlin, Java, and C++ languages\ using the Android software development kit (SDK), while using other languages is also possible. All non-JVM languages, such as Go, JavaScript, C, C++ or assembly, need the help of JVM language code, that may be supplied by tools, likely with restricted API support. Some programming languages and tools allow cross-platform app support. Third party tools, development environments, and language support have also continued to evolve and expand since the initial SDK was released in 2008. The official Android app distribution mechanism to end users is Google Play; it also allows staged gradual app release, as well as distribution of pre-release app versions to testers.",SpecializedSkill
1034,Android Multimedia,"Android multimedia is a specialized skill that involves developing and implementing audio and video functionalities in Android applications. It includes designing and coding audio and video players, recording and streaming audio and video, integrating audio and video with different components, such as notifications and alarms, and enhancing audio and video quality. This requires knowledge of Android framework, audio and video codecs, user interface design, and programming languages such as Java and Kotlin. The goal is to create high-performing, user-friendly, and feature-rich multimedia applications for Android devices.",SpecializedSkill
1035,Android SDK,"Android is a mobile operating system based on a modified version of the Linux kernel and other open source software, designed primarily for touchscreen mobile devices such as smartphones and tablets. Android is developed by a consortium of developers known as the Open Handset Alliance and commercially sponsored by Google. It was unveiled in November 2007, with the first commercial Android device launched in September 2008.",SpecializedSkill
1036,Android Software Development,"Android software development is the process by which applications are created for devices running the Android operating system. Google states that \Android apps can be written using Kotlin, Java, and C++ languages\ using the Android software development kit (SDK), while using other languages is also possible. All non-JVM languages, such as Go, JavaScript, C, C++ or assembly, need the help of JVM language code, that may be supplied by tools, likely with restricted API support. Some programming languages and tools allow cross-platform app support. Third party tools, development environments, and language support have also continued to evolve and expand since the initial SDK was released in 2008. The official Android app distribution mechanism to end users is Google Play; it also allows staged gradual app release, as well as distribution of pre-release app versions to testers.",SpecializedSkill
1037,Android Studio,"Android Studio is the official integrated development environment (IDE) for Google's Android operating system, built on JetBrains' IntelliJ IDEA software and designed specifically for Android development. It is available for download on Windows, macOS and Linux based operating systems or as a subscription-based service in 2020. It is a replacement for the Eclipse Android Development Tools (E-ADT) as the primary IDE for native Android application development.",SpecializedSkill
1038,Android Testing,"Android is a mobile operating system based on a modified version of the Linux kernel and other open source software, designed primarily for touchscreen mobile devices such as smartphones and tablets. Android is developed by a consortium of developers known as the Open Handset Alliance and commercially sponsored by Google. It was unveiled in November 2007, with the first commercial Android device launched in September 2008.",SpecializedSkill
1039,Android UI,"Android is a mobile operating system based on a modified version of the Linux kernel and other open source software, designed primarily for touchscreen mobile devices such as smartphones and tablets. Android is developed by a consortium of developers known as the Open Handset Alliance and commercially sponsored by Google. It was unveiled in November 2007, with the first commercial Android device launched in September 2008.",SpecializedSkill
1040,Angular (Web Framework),Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.,SpecializedSkill
1041,Angular CLI,"Angular CLI (Command Line Interface) is a command-line interface tool that is used to create, manage, and deploy Angular applications. It provides a set of pre-configured tools that help developers to streamline the development process and simplify the creation of Angular apps. The Angular CLI includes features such as generating components, modules, and services, running unit tests, and building for production. It is an important tool for developers working with Angular as it provides a standardized approach to creating and managing Angular projects.",SpecializedSkill
1042,Angular Components,Angular is a TypeScript-based free and open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.,SpecializedSkill
1043,Angular Material,Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google and by a community of individuals and corporations. Angular is a complete rewrite from the same team that built AngularJS.,SpecializedSkill
1044,Angular Reactive Forms,Angular Reactive Forms is a feature in the Angular framework that provides a way to create forms and handle their submission in a reactive and robust manner. It is used to build complex forms that interact with the backend API and validate user input. It simplifies the process of capturing and validating user input by providing a reactive approach to form creation and management. This helps developers to create dynamic applications with a focus on performance and user experience.,SpecializedSkill
1045,Angular Ui,"Angular UI is a user interface framework for developing web and mobile apps using the AngularJS framework. It provides a set of pre-built UI components and tools that enable developers to easily create responsive, modern user interfaces with minimal coding. This specialized skill involves proficiency in AngularJS, HTML, CSS, and JavaScript, as well as a working knowledge of UI/UX design principles.",SpecializedSkill
1046,Apache Hadoop,"Apache Hadoop is a collection of open-source software utilities that facilitates using a network of many computers to solve problems involving massive amounts of data and computation. It provides a software framework for distributed storage and processing of big data using the MapReduce programming model. Hadoop was originally designed for computer clusters built from commodity hardware, which is still the common use. It has since also found use on clusters of higher-end hardware. All the modules in Hadoop are designed with a fundamental assumption that hardware failures are common occurrences and should be automatically handled by the framework.",SpecializedSkill
1047,Arch Linux,"Arch Linux is a Linux distribution for computers with x86-64 processors. 
Arch Linux adheres to the KISS principle and is focused on simplicity, modernity, pragmatism, user centrality, and versatility. In practice, this means the project attempts to have minimal distribution-specific changes, and therefore minimal breakage with updates, and be pragmatic over ideological design choices and focus on customizability rather than user-friendliness.",SpecializedSkill
1048,Architecture Of Windows NT,"The architecture of Windows NT, a line of operating systems produced and sold by Microsoft, is a layered design that consists of two main components, user mode and kernel mode. It is a preemptive, reentrant multitasking operating system, which has been designed to work with uniprocessor and symmetrical multiprocessor (SMP)-based computers. To process input/output (I/O) requests, they use packet-driven I/O, which utilizes I/O request packets (IRPs) and asynchronous I/O. Starting with Windows XP, Microsoft began making 64-bit versions of Windows available; before this, there were only 32-bit versions of these operating systems.",SpecializedSkill
1049,Associate Android Developer Certification,"Android software development is the process by which applications are created for devices running the Android operating system. Google states that \Android apps can be written using Kotlin, Java, and C++ languages\ using the Android software development kit (SDK), while using other languages is also possible. All non-Java virtual machine (JVM) languages, such as Go, JavaScript, C, C++ or assembly, need the help of JVM language code, that may be supplied by tools, likely with restricted API support. Some programming languages and tools allow cross-platform app support. Third party tools, development environments, and language support have also continued to evolve and expand since the initial SDK was released in 2008. The official Android app distribution mechanism to end users is Google Play; it also allows staged gradual app release, as well as distribution of pre-release app versions to testers.",Certification
1050,Azure API Apps,"Azure API Apps is a cloud-based service that allows software developers to build, host, and manage APIs (Application Programming Interfaces) in a secure and scalable manner. Using Azure API Apps, developers can easily create APIs that can be accessed by other software applications, mobile devices, or web browsers. The service provides features such as authentication and authorization, caching, monitoring and logging, and integration with other Azure services. It supports multiple programming languages and frameworks, making it easy for developers to build APIs using their preferred tools and technologies.",SpecializedSkill
1051,Azure API Management,"Azure API Management is a specialized skill that involves managing and securing a company's application programming interfaces (APIs) using Azure's cloud-based platform. It requires knowledge of API design, configuration, monitoring, and analytics, as well as skills in scripting and working with RESTful APIs. Azure API Management experts also need to have experience in working with different API styles, such as SOAP, XML, JSON, and GraphQL, and be familiar with authentication mechanisms like OAuth and OpenID Connect. This skill is essential for businesses that use APIs to integrate their systems with other applications and services.",SpecializedSkill
1052,Azure Application Insights,"Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",SpecializedSkill
1053,Azure Automation,"Azure Automation is a cloud-based solution provided by Microsoft Azure that automates repetitive and manual tasks using PowerShell scripts, graphical runbooks, or Python scripts. It helps organizations to reduce errors, increase efficiency, and decrease costs by automating tasks such as provisioning, deployment, maintenance, and monitoring of resources in the cloud environment. With Azure Automation, organizations can also schedule and trigger tasks, track and monitor activity, and manage resources across multiple Azure environments.",SpecializedSkill
1054,Azure Blob Storage,"A Binary Large OBject (BLOB) is a collection of binary data stored as a single entity. Blobs are typically images, audio or other multimedia objects, though sometimes binary executable code is stored as a blob. They can exist as persistent values inside some databases, or exist at runtime as program variables in some languages.",SpecializedSkill
1055,Azure Cognitive Services,"Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",SpecializedSkill
1056,Azure Cosmos DB,"Azure Cosmos DB is Microsoft's proprietary globally-distributed, multi-model database service \for managing data at planet-scale\ launched in May 2017. It is schema-agnostic, horizontally scalable and generally classified as a NoSQL database.",SpecializedSkill
1057,Azure Data Factory,"Azure Data Factory is a cloud-based data integration service offered by Microsoft that allows organizations to efficiently and securely move data between different data stores and transform the data as per the business needs. It provides a no-code, low-code data pipeline development environment that enables integrating data across various sources such as on-premises, cloud-based, and hybrid environments. It also allows for scheduling and monitoring of data integration and transformation operations in real-time. A person skilled in Azure Data Factory may be involved in designing, developing, and overseeing complex data pipelines or automating data ingestion and ETL workflows.",SpecializedSkill
1058,Azure Databricks,"Azure Databricks is a cloud-based big data processing and analytics platform built on Apache Spark. It provides a collaborative and scalable environment for data scientists, data engineers, and business analysts to process and analyze large volumes of data in real-time. It offers a range of features and tools for data processing, machine learning, and data visualization, making it a powerful platform for organizations to derive insights and make data-driven decisions.",SpecializedSkill
1059,Azure Internet Of Things (IoT),"Azure Internet of Things (IoT) is a cloud-based platform that enables businesses to integrate and manage IoT devices and data. It provides a range of tools and services for device connectivity, data analysis, and visualization, as well as security and management. With Azure IoT, businesses can create custom solutions for IoT devices, including sensors, gateways, and other devices that can be used for monitoring and automation. This specialized skill helps businesses to drive innovation, improve operations, and increase efficiency by leveraging the power of IoT technologies.",SpecializedSkill
1060,Azure Load Balancer,"In computing, load balancing refers to the process of distributing a set of tasks over a set of resources, with the aim of making their overall processing more efficient. Load balancing can optimize the response time and avoid unevenly overloading some compute nodes while other compute nodes are left idle.",SpecializedSkill
1061,Azure Logic Apps,"Azure Logic Apps is a cloud-based service provided by Microsoft Azure that allows users to integrate data and automate business processes across different applications and services. It provides a visual designer to model and automate workflows and offers over 200 pre-built connectors to popular apps and services, including Salesforce, Office 365, and Dropbox. Azure Logic Apps can help businesses save time and increase efficiency by automating tasks and reducing manual work.",SpecializedSkill
1062,Azure Service Bus,"Azure Service Bus is a fully-managed messaging service provided by Microsoft Azure that enables reliable exchange of messages between applications and services. It supports various communication patterns, including publish/subscribe, point-to-point, and request/response. It also provides features such as message queuing, message sessions, dead-lettering, and message filtering. Azure Service Bus is widely used for building scalable, asynchronous, and distributed applications in the cloud.",SpecializedSkill
1063,Azure Service Fabric,"Microsoft Azure, commonly referred to as Azure, is a cloud computing service created by Microsoft for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. It provides software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",SpecializedSkill
1064,Azure Web Apps,"Azure Web Apps is a platform-as-a-service (PaaS) offering from Microsoft Azure designed for hosting web applications. It allows web developers to easily deploy, manage and scale their web apps without worrying about the underlying infrastructure. Azure Web Apps supports a wide range of programming languages and frameworks and provides various features such as automatic scaling, continuous deployment, and high availability. It also facilitates integration with other Azure services such as Azure SQL Database and Azure Active Directory.",SpecializedSkill
1065,Bulma CSS,"Bulma  is a character featured in the Dragon Ball franchise, first appearing in the manga series created by Akira Toriyama. She debuted in the first chapter Bulma and Son Goku , published in Weekly Shōnen Jump magazine on June 19, 1984 issue 51, meeting Goku and recruiting him as her bodyguard to travel and find the wish-granting Dragon Balls. Bulma is the daughter of Dr. Brief, the founder of the Capsule Corporation, a company that creates special small capsules that shrink and hold objects of various sizes for easy storage. Being the daughter of a brilliant scientist, Bulma is also a scientific genius, as well as an inventor and engineer. Along with creating the Dragon Radar, a device that detects the energy signal emitted by a Dragon Ball, Bulma's role as an inventor becomes important at several points in the series; including the time machine that brings her future son Trunks to the past.",SpecializedSkill
1066,C Mathematical Functions (C Standard Library),"C mathematical operations are a group of functions in the standard library of the C programming language implementing basic mathematical functions. All functions use floating-point numbers in one manner or another. Different C standards provide different, albeit backwards-compatible, sets of functions. Most of these functions are also available in the C++ standard library, though in different headers.",SpecializedSkill
1067,C Programming Language Certified Associate (CLA),"C is a general-purpose computer programming language. It was created in the 1970s by Dennis Ritchie, and remains very widely used and influential. By design, C's features cleanly reflect the capabilities of the targeted CPUs. It has found lasting use in operating systems, device drivers, protocol stacks, though decreasingly for application software. C is commonly used on computer architectures that range from the largest supercomputers to the smallest microcontrollers and embedded systems.",Certification
1068,C Shell,"The C shell is a Unix shell created by Bill Joy while he was a graduate student at University of California, Berkeley in the late 1970s. It has been widely distributed, beginning with the 2BSD release of the Berkeley Software Distribution (BSD) which Joy first distributed in 1978. Other early contributors to the ideas or the code were Michael Ubell, Eric Allman, Mike O'Brien and Jim Kulp.",SpecializedSkill
1069,CSE HTML Validator,"CSS HTML Validator is an HTML editor and CSS editor for Windows that helps web developers create syntactically correct and accessible HTML, XHTML, and CSS documents by locating errors, potential problems, and common mistakes. It is also able to check links, suggest improvements, alert developers to deprecated, obsolete, or proprietary tags, attributes, and CSS properties, and find issues that can affect search engine optimization.",SpecializedSkill
1070,CSLA .NET (Software Development Framework),"CSLA .NET is a software framework created by Rockford Lhotka that provides a standard way to create robust object oriented programs using business objects. Business objects are objects that abstract business entities in an object oriented program. Some examples of business entities include sales orders, employees, or invoices.",SpecializedSkill
1071,CSS Codes,"In quantum error correction, CSS codes, named after their inventors, Robert Calderbank, Peter Shor and Andrew Steane, are a special type of Stabilizer codes constructed from classical codes with some special properties. An example of a CSS code is the Steane code.",SpecializedSkill
1072,CSS Frameworks,"A CSS framework is a library allowing for easier, more standards-compliant web design using the Cascading Style Sheets language. Most of these frameworks contain at least a grid. More functional frameworks also come with more features and additional JavaScript based functions, but are mostly design oriented and focused around interactive UI patterns. This detail differentiates CSS frameworks from other JavaScript frameworks.",SpecializedSkill
1073,Certified Linux Administrator,"Certified Linux Administrator (CLA) is a certification that validates a professional's knowledge and skills in Linux operating systems and related technologies. This certification is awarded by various organizations and requires passing an exam that tests one's understanding of Linux installation, configuration, system maintenance, networking, security, and troubleshooting. CLA is considered an essential qualification for individuals pursuing a career in Linux administration and is widely recognized by employers as a testament to the candidate's professionalism and expertise in the field.",Certification
1074,Cisco Unified Contact Center Enterprise,"Cisco Unified Contact Center Enterprise is a software solution that integrates various communication channels, including voice, email, chat, social media, and video, to provide a seamless customer experience. It enables businesses to route customer inquiries to the right agent, providing timely and accurate responses. The solution also helps managers to monitor and analyze communication metrics, reducing response times and optimizing performance. Cisco Unified Contact Center Enterprise is a specialized skill for professionals who manage enterprise-level contact centers.",SpecializedSkill
1075,Cloudera Certified Developer For Hadoop (CCDH),"Cloudera Certified Developer for Hadoop (CCDH) is a certification program that validates an individual's expertise in developing and creating applications using the Hadoop ecosystem. It is designed to demonstrate a developer‚Äôs ability to work with Hadoop and related tools to design, develop, and maintain efficient and scalable big data applications. The program covers a range of topics including the fundamentals of Hadoop, MapReduce, YARN, HDFS, and related technologies. The certification is widely recognized in the industry and serves as a benchmark for Hadoop developers.",Certification
1076,Composer PHP,"Composer is an application-level package manager for the PHP programming language that provides a standard format for managing dependencies of PHP software and required libraries. It was developed by Nils Adermann and Jordi Boggiano, who continue to manage the project. They began development in April 2011 and first released it on March 1, 2012. Composer is strongly inspired by Node.js's \npm\ and Ruby's \bundler\. The project's dependency solving algorithm started out as a PHP-based port of openSUSE's libzypp satsolver.",SpecializedSkill
1077,Content Repository API For Java,"Content Repository API for Java (JCR) is a specification for a Java platform application programming interface (API) to access content repositories in a uniform manner. The content repositories are used in content management systems to keep the content data and also the metadata used in content management systems (CMS) such as versioning metadata. The specification was developed under the Java Community Process as JSR-170, and as JSR-283. The main Java package is javax.jcr.",SpecializedSkill
1078,D3.js (Javascript Library),"D3.js is a JavaScript library for producing dynamic, interactive data visualizations in web browsers. It makes use of Scalable Vector Graphics (SVG), HTML5, and Cascading Style Sheets (CSS) standards. It is the successor to the earlier Protovis framework. Its development was noted in 2011, as version 2.0.0 was released in August 2011.",SpecializedSkill
1079,DB2 SQL,SQL Return Codes are used on a day-to-day basis for the diagnosis of programming failures as a result of SQL calls by DB2 computer programs. An important feature of DB2 programs is the error processing. The error diagnostic containing the SQL Return Code is held in the field SQLCODE within the DB2 SLCA block.,SpecializedSkill
